Transaction Hash,Date,From,To,Amount In (ETH),Amount Out (ETH),Fee (ETH),Fee (USD),CurrentValue,General amount,General amount USD
0x1427ec33355016d4f8967365456da4cf15a2146d219b5805050cb7abeb226562,2024-01-15 07:20:47,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.001074346,3.5779267141799997,-0.0,-0.0,-3.5779267141799997
0x258fc2d24f1299c388d1d8905b0e92480ba408fc6f507791bc3f35a2b0402249,2024-01-22 15:35:59,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.001487124,4.95261367092,-0.0,-0.0,-4.95261367092
0x11a6aa7883a24423075dd531354473ae55c5fb3da5bb1228c751f03c4cb00c0e,2024-01-29 15:54:35,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.001404914,4.67882724162,-0.0,-0.0,-4.67882724162
0x21c19d6af6e1f10c1f0a8ec93d7e8ed0154e289cef2910ec4eb8e485c52428d1,2024-02-05 15:47:59,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.001776803,5.91734033499,-0.0,-0.0,-5.91734033499
0xd4f7716528f90ba1c7640b92990f5e7c0947b661012c2438b490d9a4c35c0028,2024-02-12 15:46:11,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.002148068,7.15377530244,-0.0,-0.0,-7.15377530244
0x360c352c4c0467c5b8d7401fa27688248738db8acb9eb4eaaac7c3fe57c8f525,2024-02-19 11:50:35,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.001570198,5.22927750534,-0.0,-0.0,-5.22927750534
0x5ca5e9ca13521373fe7b75e848d06a4c55f45f5096766fd3718c059a0f495919,2024-02-21 09:18:59,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.001735482,5.77972776906,-0.0,-0.0,-5.77972776906
0xa97273740b16f009e71b385d7741b6e6f940d230804d62a47218b896d3dc9324,2024-02-26 14:20:35,0x753233ab3efcb4c8dc7b163f37062548904272a1,0x720a4c3b4465772aa982743c9f05e0e4b526836c,0,-0.02484339786701684,-0.001449,4.82564817,-82.73671321846219,-0.02484339786701684,-87.56236138846218
0x8226ea643fdcfd2000e2da3c9dfc723ae2abd821bde9745287d76f9516302c16,2024-03-04 13:49:35,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.002809828,9.35765448324,-0.0,-0.0,-9.35765448324
0x8c7153892b96b729bef5f7f78765feeb45a7a4fa9e1eaf1210aedd9605086a54,2024-04-01 12:38:59,0x9e6be2098d9a5bcd01b65e570037b201e129241b,0x753233ab3efcb4c8dc7b163f37062548904272a1,0.00912225648136323,0,0,0,30.3801244275784,0.00912225648136323,30.3801244275784
0x1e21d6d581a8600c37f665c2109d81f7dc7f803d8cd3e1fc5d4409a66ee8ca63,2024-04-01 12:41:23,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.001115343,3.71446025319,-0.0,-0.0,-3.71446025319
0xfe48bb4c4cb03f250d508f6735c847a39797339eba6025359fd540c282117352,2024-04-08 12:37:23,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.001322272,4.4036021097599995,-0.0,-0.0,-4.4036021097599995
0x0ce0a14f75560454aa45b6136617a3b016efc70bb00b83fae76b908c01da317c,2024-04-09 18:56:59,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.001528877,5.09166493941,-0.0,-0.0,-5.09166493941
0x48ad88a07c967d9298d037218866c96d8fb228a697a1b654c6b3607e630c6df3,2024-04-15 12:31:47,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.001115667,3.7155392801100002,-0.0,-0.0,-3.7155392801100002
0xa4eefab47c6eeec620b5bf03654e05c1ea16cf8385eae2001a459249df95ebfa,2024-04-22 14:42:11,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.001280951,4.26598954383,-0.0,-0.0,-4.26598954383
0x6bff018e837bdb1b18348f65c351737d3bd4493b350187afd1646cc1fb4b16b1,2024-04-29 08:20:35,0xaccdb161128e38aeb60942675ac168f0ee05ca34,0x753233ab3efcb4c8dc7b163f37062548904272a1,0.0336333427506693,0,0,0,112.01013036283649,0.0336333427506693,112.01013036283649
0xc0b0b001f4348ab8fb2607d3081a27cd59c9161ab21704e3c41cdd454152ea10,2024-04-29 08:21:35,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.000743778,2.47702618674,-0.0,-0.0,-2.47702618674
0xaff81431eec3ab35ead0cb72368e213e7f433bb5f39f0b6770ec4966e1440029,2024-05-06 13:27:35,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.000743778,2.47702618674,-0.0,-0.0,-2.47702618674
0xd76b9abfa2193104e02fc132fbc02cdf63d86eeb90181ab50f6113da98bac2a3,2024-05-09 19:07:35,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.000578494,1.9265759230200001,-0.0,-0.0,-1.9265759230200001
0x26f5d56333325e1c72556a0a50b704638420bd89970596c21772b39a782014e9,2024-05-20 13:59:35,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.000702457,2.33941362081,-0.0,-0.0,-2.33941362081
0xf5cfb6273cf47acada1ea2e75b022dac7b7d0f8ea01dd356cadef5266f4fc841,2024-05-27 13:21:59,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.001156988,3.8531518460400003,-0.0,-0.0,-3.8531518460400003
0xf66ad60044a2e7b8f9a6dc352cfe9e128b4f039e8ad7d66b07037706eaa5d743,2024-06-10 07:19:47,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.000578494,1.9265759230200001,-0.0,-0.0,-1.9265759230200001
0xc86c0ac75d511e10ddee234fec4c6967f566637e4784dbccb92be8272fcd7bd6,2024-06-12 18:50:23,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.001156988,3.8531518460400003,-0.0,-0.0,-3.8531518460400003
0x5469a4f18ce995302c6a5bd1a72d3c81a27d3d35c3683a5fa5260c347a1bdcbe,2024-06-15 15:19:35,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.000934736,3.11297934288,-0.0,-0.0,-3.11297934288
0xb8362edeabd91193053c71185a831500a140fcbeaa1d7e36209e7e9246519602,2024-06-24 07:50:35,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.000578494,1.9265759230200001,-0.0,-0.0,-1.9265759230200001
0x08fffc4e30ee3b028d6d0c8a7cb48f13e959a64fbb2798eb10c8b0306de42a95,2024-07-08 07:09:35,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.000454531,1.51373822523,-0.0,-0.0,-1.51373822523
0xaef33cc5b540c70a6ab5d9768e4caa9d24b633cc63a185c28d9da685a1b40fbe,2024-07-15 07:29:35,0x753233ab3efcb4c8dc7b163f37062548904272a1,0xdac17f958d2ee523a2206206994597c13d831ec7,0,-0.0,-0.000578326,1.92601642758,-0.0,-0.0,-1.92601642758
